Sierra Leone,SLE,"Literacy rate, adult total (% of people ages 15 and above)",
El Salvador,SLV,"Literacy rate, adult total (% of people ages 15 and above)",
San Marino,SMR,"Literacy rate, adult total (% of people ages 15 and above)",
Somalia,SOM,"Literacy rate, adult total (% of people ages 15 and above)",
Serbia,SRB,"Literacy rate, adult total (% of people ages 15 and above)",
Sub-Saharan Africa (excluding high income),SSA,"Literacy rate, adult total (% of people ages 15 and above)",63.48269
South Sudan,SSD,"Literacy rate, adult total (% of people ages 15 and above)",
Sub-Saharan Africa,SSF,"Literacy rate, adult total (% of people ages 15 and above)",63.48687
Small states,SST,"Literacy rate, adult total (% of people ages 15 and above)",85.14295
Sao Tome and Principe,STP,"Literacy rate, adult total (% of people ages 15 and above)",
Suriname,SUR,"Literacy rate, adult total (% of people ages 15 and above)",
Slovak Republic,SVK,"Literacy rate, adult total (% of people ages 15 and above)",
Slovenia,SVN,"Literacy rate, adult total (% of people ages 15 and above)",99.7
Sweden,SWE,"Literacy rate, adult total (% of people ages 15 and above)",
Eswatini,SWZ,"Literacy rate, adult total (% of people ages 15 and above)",
Sint Maarten (Dutch part),SXM,"Literacy rate, adult total (% of people ages 15 and above)",
Seychelles,SYC,"Literacy rate, adult total (% of people ages 15 and above)",
Syrian Arab Republic,SYR,"Literacy rate, adult total (% of people ages 15 and above)",
Turks and Caicos Islands,TCA,"Literacy rate, adult total (% of people ages 15 and above)",
Chad,TCD,"Literacy rate, adult total (% of people ages 15 and above)",
East Asia & Pacific (IDA & IBRD countries),TEA,"Literacy rate, adult total (% of people ages 15 and above)",95.13672
Europe & Central Asia (IDA & IBRD countries),TEC,"Literacy rate, adult total (% of people ages 15 and above)",98.83761
Togo,TGO,"Literacy rate, adult total (% of people ages 15 and above)",
Thailand,THA,"Literacy rate, adult total (% of people ages 15 and above)",
Tajikistan,TJK,"Literacy rate, adult total (% of people ages 15 and above)",99.8
Turkmenistan,TKM,"Literacy rate, adult total (% of people ages 15 and above)",99.7
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Literacy rate, adult total (% of people ages 15 and above)",92.79792
Timor-Leste,TLS,"Literacy rate, adult total (% of people ages 15 and above)",
Middle East & North Africa (IDA & IBRD countries),TMN,"Literacy rate, adult total (% of people ages 15 and above)",75.74665
Tonga,TON,"Literacy rate, adult total (% of people ages 15 and above)",
South Asia (IDA & IBRD),TSA,"Literacy rate, adult total (% of people ages 15 and above)",68.73481
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Literacy rate, adult total (% of people ages 15 and above)",63.48687
Trinidad and Tobago,TTO,"Literacy rate, adult total (% of people ages 15 and above)",
Tunisia,TUN,"Literacy rate, adult total (% of people ages 15 and above)",79.03643
Turkey,TUR,"Literacy rate, adult total (% of people ages 15 and above)",95.43963
Tuvalu,TUV,"Literacy rate, adult total (% of people ages 15 and above)",
Tanzania,TZA,"Literacy rate, adult total (% of people ages 15 and above)",
Uganda,UGA,"Literacy rate, adult total (% of people ages 15 and above)",
Ukraine,UKR,"Literacy rate, adult total (% of people ages 15 and above)",
Upper middle income,UMC,"Literacy rate, adult total (% of people ages 15 and above)",94.6637
Uruguay,URY,"Literacy rate, adult total (% of people ages 15 and above)",98.43593
United States,USA,"Literacy rate, adult total (% of people ages 15 and above)",
Uzbekistan,UZB,"Literacy rate, adult total (% of people ages 15 and above)",99.98055
St. Vincent and the Grenadines,VCT,"Literacy rate, adult total (% of people ages 15 and above)",
"Venezuela, RB",VEN,"Literacy rate, adult total (% of people ages 15 and above)",
British Virgin Islands,VGB,"Literacy rate, adult total (% of people ages 15 and above)",
Virgin Islands (U.S.),VIR,"Literacy rate, adult total (% of people ages 15 and above)",
Vietnam,VNM,"Literacy rate, adult total (% of people ages 15 and above)",
Vanuatu,VUT,"Literacy rate, adult total (% of people ages 15 and above)",84.7
World,WLD,"Literacy rate, adult total (% of people ages 15 and above)",85.28372
Samoa,WSM,"Literacy rate, adult total (% of people ages 15 and above)",
Kosovo,XKX,"Literacy rate, adult total (% of people ages 15 and above)",
"Yemen, Rep.",YEM,"Literacy rate, adult total (% of people ages 15 and above)",
South Africa,ZAF,"Literacy rate, adult total (% of people ages 15 and above)",94.1399
Zambia,ZMB,"Literacy rate, adult total (% of people ages 15 and above)",
Zimbabwe,ZWE,"Literacy rate, adult total (% of people ages 15 and above)",88.69342
